# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       1.416        0.000     2105.168     2968.918
       1.427        0.000     2105.168     2968.918
       1.438        0.000     2105.168     2968.918
       1.449        0.000     2105.168     2968.918
       1.460        0.000     2105.168     2968.918
       1.471        0.000     2105.168     2968.918
       1.482        0.000     2105.168     2968.918
       1.493        0.000     2105.168     2968.918
       1.504        0.000     2105.168     2968.918
       1.515        0.000     2105.168     2968.918
       1.525       94.000     2105.168     2968.918
       1.536        0.000     2105.168     2968.918
       1.547        0.000     2105.168     2968.918
       1.558        0.000     2105.168     2968.918
       1.568        0.000     2105.168     2968.918
       1.579        0.000     2105.168     2968.918
       1.590        0.000     2105.168     2968.918
       1.601        0.000     2105.168     2968.918
       1.613        0.000     2105.168     2968.918
       1.623        0.000     2105.168     2968.918
       1.634        0.000     2105.168     2968.918
       1.645        0.000     2105.168     2968.918
       1.655        0.000     2105.168     2968.918
       1.666        0.000     2105.168     2968.918
       1.677        0.000     2105.168     2968.918
       1.687        0.000     2105.168     2968.918
       1.698        0.000     2105.168     2968.918
       1.708        0.000     2105.168     2968.918
       1.719        0.000     2105.168     2968.918
       1.730        0.000     2105.168     2968.918
       1.741        0.000     2105.168     2968.918
       1.752        0.000     2105.168     2968.918
       1.762        0.000     2105.168     2968.918
       1.773        0.000     2105.168     2968.918
       1.784        0.000     2105.168     2968.918
       1.795        0.000     2105.168     2968.918
       1.806        0.000     2105.168     2968.918
       1.817        0.000     2105.168     2968.918
       1.828        0.000     2105.168     2968.918
       1.838        0.000     2105.168     2968.918
       1.849        0.000     2105.168     2968.918
       1.860        0.000     2105.168     2968.918
       1.870        0.000     2105.168     2968.918
       1.881        0.000     2105.168     2968.918
       1.891        0.000     2105.168     2968.918
       1.902        0.000     2105.168     2968.918
       1.913        0.000     2105.168     2968.918
       1.923        0.000     2105.168     2968.918
       1.933        0.000     2105.168     2968.918
       1.944        0.000     2105.168     2968.918
       1.955        0.000     2105.168     2968.918
       1.966        0.000     2105.168     2968.918
       1.977        0.000     2105.168     2968.918
       1.988        0.000     2105.168     2968.918
       1.999        0.000     2105.168     2968.918
       2.009        0.000     2105.168     2968.918
       2.020       92.200     2105.168     2968.918
       2.031        0.000     2105.168     2968.918
       2.042        0.000     2105.168     2968.918
       2.053        0.000     2105.168     2968.918
       2.063        0.000     2105.168     2968.918
       2.074        0.000     2105.168     2968.918
       2.085        0.000     2105.168     2968.918
       2.096        0.000     2105.168     2968.918
       2.107        0.000     2105.168     2968.918
       2.118        0.000     2105.168     2968.918
       2.129        0.000     2105.168     2968.918
       2.140        0.000     2105.168     2968.918
       2.151        0.000     2105.168     2968.918
       2.162        0.000     2105.168     2968.918
       2.173        0.000     2105.168     2968.918
       2.183        0.000     2105.168     2968.918
       2.194        0.000     2105.168     2968.918
       2.205        0.000     2105.168     2968.918
       2.216        0.000     2105.168     2968.918
       2.227        0.000     2105.168     2968.918
       2.238        0.000     2105.168     2968.918
       2.248        0.000     2105.168     2968.918
       2.259        0.000     2105.168     2968.918
       2.270        0.000     2105.168     2968.918
       2.281        0.000     2105.168     2968.918
       2.292        0.000     2105.168     2968.918
       2.303        0.000     2105.168     2968.918
       2.314        0.000     2105.168     2968.918
       2.325        0.000     2105.168     2968.918
       2.336        0.000     2105.168     2968.918
       2.347        0.000     2105.168     2968.918
       2.358        0.000     2105.168     2968.918
       2.369        0.000     2105.168     2968.918
       2.380        0.000     2105.168     2968.918
       2.391        0.000     2105.168     2968.918
       2.402        0.000     2105.168     2968.918
       2.413        0.000     2105.168     2968.918
       2.424        0.000     2105.168     2968.918
       2.435        0.000     2105.168     2968.918
       2.446        0.000     2105.168     2968.918
       2.456        0.000     2105.168     2968.918
       2.467        0.000     2105.168     2968.918
       2.478        0.000     2105.168     2968.918
       2.489        0.000     2105.168     2968.918
       2.500        0.000     2105.168     2968.918
       2.511        0.000     2105.168     2968.918
       2.522        0.000     2105.168     2968.918
       2.532        0.000     2105.168     2968.918
       2.543        0.000     2105.168     2968.918
       2.554        0.000     2105.168     2968.918
       2.565        0.000     2105.168     2968.918
       2.576        0.000     2105.168     2968.918
       2.587        0.000     2105.168     2968.918
       2.598        0.000     2105.168     2968.918
       2.609        0.000     2105.168     2968.918
       2.620        0.000     2105.168     2968.918
       2.631        0.000     2105.168     2968.918
       2.642        0.000     2105.168     2968.918
       2.653        0.000     2105.168     2968.918
       2.663        0.000     2105.168     2968.918
       2.674        0.000     2105.168     2968.918
       2.685        0.000     2105.168     2968.918
       2.695        0.000     2105.168     2968.918
       2.705        0.000     2105.168     2968.918
       2.716        0.000     2105.168     2968.918
       2.726        0.000     2105.168     2968.918
       2.737        0.000     2105.168     2968.918
       2.747        0.000     2105.168     2968.918
       2.758        0.000     2105.168     2968.918
       2.769        0.000     2105.168     2968.918
       2.780        0.000     2105.168     2968.918
       2.791        0.000     2105.168     2968.918
       2.801        0.000     2105.168     2968.918
       2.812        0.000     2105.168     2968.918
       2.823        0.000     2105.168     2968.918
       2.834        0.000     2105.168     2968.918
       2.845        0.000     2105.168     2968.918
       2.856        0.000     2105.168     2968.918
       2.867        0.000     2105.168     2968.918
       2.878        0.000     2105.168     2968.918
       2.889        0.000     2105.168     2968.918
       2.900        0.000     2105.168     2968.918
       2.910        0.000     2105.168     2968.918
       2.921        0.000     2105.168     2968.918
       2.932        0.000     2105.168     2968.918
       2.943        0.000     2105.168     2968.918
       2.954        0.000     2105.168     2968.918
       2.965        0.000     2105.168     2968.918
       2.976        0.000     2105.168     2968.918
       2.987        0.000     2105.168     2968.918
       2.998        0.000     2105.168     2968.918
       3.009        0.000     2105.168     2968.918
       3.020        0.000     2105.168     2968.918
       3.031        0.000     2105.168     2968.918
       3.041        0.000     2105.168     2968.918
       3.052        0.000     2105.168     2968.918
       3.063        0.000     2105.168     2968.918
       3.074        0.000     2105.168     2968.918
       3.085        0.000     2105.168     2968.918
       3.096        0.000     2105.168     2968.918
       3.107        0.000     2105.168     2968.918
       3.118        0.000     2105.168     2968.918
       3.128        0.000     2105.168     2968.918
       3.139        0.000     2105.168     2968.918
       3.150        0.000     2105.168     2968.918
       3.161        0.000     2105.168     2968.918
       3.172        0.000     2105.168     2968.918
       3.183        0.000     2105.168     2968.918
       3.194        0.000     2105.168     2968.918
       3.204        0.000     2105.168     2968.918
       3.215        0.000     2105.168     2968.918
       3.226        0.000     2105.168     2968.918
       3.237        0.000     2105.168     2968.918
       3.247        0.000     2105.168     2968.918
       3.258        0.000     2105.168     2968.918
       3.268        0.000     2105.168     2968.918
       3.278        0.000     2105.168     2968.918
       3.289        0.000     2105.168     2968.918
       3.299        0.000     2105.168     2968.918
       3.310        0.000     2105.168     2968.918
       3.320        0.000     2105.168     2968.918
       3.331        0.000     2105.168     2968.918
       3.341        0.000     2105.168     2968.918
       3.351        0.000     2105.168     2968.918
       3.362        0.000     2105.168     2968.918
       3.372        0.000     2105.168     2968.918
       3.383        0.000     2105.168     2968.918
       3.393        0.000     2105.168     2968.918
       3.403        0.000     2105.168     2968.918
       3.414        0.000     2105.168     2968.918
       3.424        0.000     2105.168     2968.918
       3.435        0.000     2105.168     2968.918
       3.445       95.600     2105.168     2968.918
       3.455        0.000     2105.168     2968.918
       3.466        0.000     2105.168     2968.918
       3.476        0.000     2105.168     2968.918
       3.487        0.000     2105.168     2968.918
       3.497        0.000     2105.168     2968.918
       3.508        0.000     2105.168     2968.918
       3.518        0.000     2105.168     2968.918
       3.528        0.000     2105.168     2968.918
       3.539        0.000     2105.168     2968.918
       3.549        0.000     2105.168     2968.918
       3.559        0.000     2105.168     2968.918
       3.570        0.000     2105.168     2968.918
       3.580        0.000     2105.168     2968.918
       3.591        0.000     2105.168     2968.918
       3.601        0.000     2105.168     2968.918
       3.611        0.000     2105.168     2968.918
       3.622        0.000     2105.168     2968.918
       3.632        0.000     2105.168     2968.918
       3.643        0.000     2105.168     2968.918
       3.653        0.000     2105.168     2968.918
       3.663        0.000     2105.168     2968.918
       3.674        0.000     2105.168     2968.918
       3.684        0.000     2105.168     2968.918
       3.694        0.000     2105.168     2968.918
       3.705        0.000     2105.168     2968.918
       3.715        0.000     2105.168     2968.918
       3.725        0.000     2105.168     2968.918
       3.736        0.000     2105.168     2968.918
       3.746        0.000     2105.168     2968.918
       3.756        0.000     2105.168     2968.918
       3.767        0.000     2105.168     2968.918
       3.777        0.000     2105.168     2968.918
       3.788        0.000     2105.168     2968.918
       3.798        0.000     2105.168     2968.918
       3.808        0.000     2105.168     2968.918
       3.819        0.000     2105.168     2968.918
       3.829        0.000     2105.168     2968.918
       3.839        0.000     2105.168     2968.918
       3.849        0.000     2105.168     2968.918
       3.860        0.000     2105.168     2968.918
       3.871        0.000     2105.168     2968.918
       3.881        0.000     2105.168     2968.918
       3.892        0.000     2105.168     2968.918
       3.902        0.000     2105.168     2968.918
       3.912        0.000     2105.168     2968.918
       3.923        0.000     2105.168     2968.918
       3.933        0.000     2105.168     2968.918
       3.944        0.000     2105.168     2968.918
       3.954        0.000     2105.168     2968.918
       3.964        0.000     2105.168     2968.918
       3.975        0.000     2105.168     2968.918
       3.985        0.000     2105.168     2968.918
       3.996        0.000     2105.168     2968.918
       4.006        0.000     2105.168     2968.918
       4.017        0.000     2105.168     2968.918
       4.027        0.000     2105.168     2968.918
       4.038        0.000     2105.168     2968.918
       4.049        0.000     2105.168     2968.918
       4.060        0.000     2105.168     2968.918
       4.071        0.000     2105.168     2968.918
       4.082        0.000     2105.168     2968.918
       4.093        0.000     2105.168     2968.918
       4.103        0.000     2105.168     2968.918
       4.114        0.000     2105.168     2968.918
       4.125        0.000     2105.168     2968.918
       4.136        0.000     2105.168     2968.918
       4.146        0.000     2105.168     2968.918
       4.157        0.000     2105.168     2968.918
       4.167        0.000     2105.168     2968.918
       4.177        0.000     2105.168     2968.918
       4.188        0.000     2105.168     2968.918
       4.198        0.000     2105.168     2968.918
       4.208        0.000     2105.168     2968.918
       4.219        0.000     2105.168     2968.918
       4.229        0.000     2105.168     2968.918
       4.239       97.200     2105.168     2968.918
       4.250        0.000     2105.168     2968.918
       4.260        0.000     2105.168     2968.918
       4.270        0.000     2105.168     2968.918
       4.280        0.000     2105.168     2968.918
       4.291        0.000     2105.168     2968.918
       4.301        0.000     2105.168     2968.918
       4.311        0.000     2105.168     2968.918
       4.322        0.000     2105.168     2968.918
       4.332        0.000     2105.168     2968.918
       4.342        0.000     2105.168     2968.918
       4.352        0.000     2105.168     2968.918
       4.363        0.000     2105.168     2968.918
       4.373        0.000     2105.168     2968.918
       4.383        0.000     2105.168     2968.918
       4.394        0.000     2105.168     2968.918
       4.404        0.000     2105.168     2968.918
       4.414        0.000     2105.168     2968.918
       4.424        0.000     2105.168     2968.918
       4.435        0.000     2105.168     2968.918
       4.445        0.000     2105.168     2968.918
       4.456        0.000     2105.168     2968.918
       4.467        0.000     2105.168     2968.918
       4.478        0.000     2105.168     2968.918
       4.489        0.000     2105.168     2968.918
       4.500        0.000     2105.168     2968.918
       4.510        0.000     2105.168     2968.918
       4.521        0.000     2105.168     2968.918
       4.532        0.000     2105.168     2968.918
       4.543        0.000     2105.168     2968.918
       4.554        0.000     2105.168     2968.918
       4.565        0.000     2105.168     2968.918
       4.576        0.000     2105.168     2968.918
       4.587        0.000     2105.168     2968.918
       4.598        0.000     2105.168     2968.918
       4.608        0.000     2105.168     2968.918
       4.619        0.000     2105.168     2968.918
       4.629        0.000     2105.168     2968.918
       4.639        0.000     2105.168     2968.918
       4.650        0.000     2105.168     2968.918
       4.661        0.000     2105.168     2968.918
       4.672        0.000     2105.168     2968.918
       4.683        0.000     2105.168     2968.918
       4.693        0.000     2105.168     2968.918
       4.704        0.000     2105.168     2968.918
       4.714        0.000     2105.168     2968.918
       4.725        0.000     2105.168     2968.918
       4.736        0.000     2105.168     2968.918
       4.747        0.000     2105.168     2968.918
       4.758        0.000     2105.168     2968.918
       4.768        0.000     2105.168     2968.918
       4.779        0.000     2105.168     2968.918
       4.789        0.000     2105.168     2968.918
       4.800        0.000     2105.168     2968.918
       4.810        0.000     2105.168     2968.918
       4.820        0.000     2105.168     2968.918
       4.831        0.000     2105.168     2968.918
       4.841        0.000     2105.168     2968.918
       4.852        0.000     2105.168     2968.918
       4.863        0.000     2105.168     2968.918
       4.874        0.000     2105.168     2968.918
       4.884       92.200     2105.168     2968.918
       4.895        0.000     2105.168     2968.918
       4.906        0.000     2105.168     2968.918
       4.917        0.000     2105.168     2968.918
       4.928        0.000     2105.168     2968.918
       4.939        0.000     2105.168     2968.918
       4.950        0.000     2105.168     2968.918
       4.960        0.000     2105.168     2968.918
       4.971        0.000     2105.168     2968.918
       4.982        0.000     2105.168     2968.918
       4.993        0.000     2105.168     2968.918
       5.004        0.000     2105.168     2968.918
       5.015        0.000     2105.168     2968.918
       5.026        0.000     2105.168     2968.918
       5.036        0.000     2105.168     2968.918
       5.047        0.000     2105.168     2968.918
       5.058        0.000     2105.168     2968.918
       5.069        0.000     2105.168     2968.918
       5.080        0.000     2105.168     2968.918
       5.091        0.000     2105.168     2968.918
       5.102        0.000     2105.168     2968.918
       5.113        0.000     2105.168     2968.918
       5.123        0.000     2105.168     2968.918
       5.134        0.000     2105.168     2968.918
       5.145        0.000     2105.168     2968.918
       5.156        0.000     2105.168     2968.918
       5.167        0.000     2105.168     2968.918
       5.178        0.000     2105.168     2968.918
       5.188        0.000     2105.168     2968.918
       5.199        0.000     2105.168     2968.918
       5.210        0.000     2105.168     2968.918
       5.221        0.000     2105.168     2968.918
       5.232        0.000     2105.168     2968.918
       5.243        0.000     2105.168     2968.918
       5.254        0.000     2105.168     2968.918
       5.265        0.000     2105.168     2968.918
       5.275        0.000     2105.168     2968.918
       5.286        0.000     2105.168     2968.918
       5.297        0.000     2105.168     2968.918
       5.308        0.000     2105.168     2968.918
       5.319        0.000     2105.168     2968.918
       5.330        0.000     2105.168     2968.918
       5.341        0.000     2105.168     2968.918
       5.351        0.000     2105.168     2968.918
       5.362        0.000     2105.168     2968.918
       5.373        0.000     2105.168     2968.918
       5.384        0.000     2105.168     2968.918
       5.395        0.000     2105.168     2968.918
       5.406        0.000     2105.168     2968.918
       5.417        0.000     2105.168     2968.918
       5.427        0.000     2105.168     2968.918
       5.438        0.000     2105.168     2968.918
       5.449        0.000     2105.168     2968.918
       5.460        0.000     2105.168     2968.918
       5.471        0.000     2105.168     2968.918
       5.482        0.000     2105.168     2968.918
       5.493        0.000     2105.168     2968.918
       5.503        0.000     2105.168     2968.918
       5.514        0.000     2105.168     2968.918
       5.525        0.000     2105.168     2968.918
       5.536        0.000     2105.168     2968.918
       5.547        0.000     2105.168     2968.918
       5.558        0.000     2105.168     2968.918
       5.569        0.000     2105.168     2968.918
       5.579       92.200     2105.168     2968.918
       5.590        0.000     2105.168     2968.918
       5.601        0.000     2105.168     2968.918
       5.612        0.000     2105.168     2968.918
       5.622        0.000     2105.168     2968.918
       5.633        0.000     2105.168     2968.918
       5.644        0.000     2105.168     2968.918
       5.655        0.000     2105.168     2968.918
       5.665        0.000     2105.168     2968.918
       5.676        0.000     2105.168     2968.918
       5.687        0.000     2105.168     2968.918
       5.698        0.000     2105.168     2968.918
       5.709        0.000     2105.168     2968.918
       5.720        0.000     2105.168     2968.918
       5.731        0.000     2105.168     2968.918
       5.741        0.000     2105.168     2968.918
       5.752        0.000     2105.168     2968.918
       5.763        0.000     2105.168     2968.918
       5.774        0.000     2105.168     2968.918
       5.785        0.000     2105.168     2968.918
       5.796        0.000     2105.168     2968.918
       5.806        0.000     2105.168     2968.918
       5.817        0.000     2105.168     2968.918
       5.828        0.000     2105.168     2968.918
       5.839        0.000     2105.168     2968.918
       5.850        0.000     2105.168     2968.918
       5.861        0.000     2105.168     2968.918
       5.872        0.000     2105.168     2968.918
       5.882        0.000     2105.168     2968.918
       5.893        0.000     2105.168     2968.918
       5.903        0.000     2105.168     2968.918
       5.913        0.000     2105.168     2968.918
       5.924        0.000     2105.168     2968.918
       5.934        0.000     2105.168     2968.918
       5.945        0.000     2105.168     2968.918
       5.956        0.000     2105.168     2968.918
       5.967        0.000     2105.168     2968.918
       5.978        0.000     2105.168     2968.918
       5.988        0.000     2105.168     2968.918
       5.999        0.000     2105.168     2968.918
       6.010        0.000     2105.168     2968.918
       6.021        0.000     2105.168     2968.918
       6.032        0.000     2105.168     2968.918
       6.043        0.000     2105.168     2968.918
       6.054        0.000     2105.168     2968.918
       6.064        0.000     2105.168     2968.918
       6.075        0.000     2105.168     2968.918
       6.085        0.000     2105.168     2968.918
       6.096        0.000     2105.168     2968.918
       6.107        0.000     2105.168     2968.918
       6.117        0.000     2105.168     2968.918
       6.128        0.000     2105.168     2968.918
       6.138        0.000     2105.168     2968.918
       6.149        0.000     2105.168     2968.918
       6.160        0.000     2105.168     2968.918
       6.171        0.000     2105.168     2968.918
       6.181        0.000     2105.168     2968.918
       6.192        0.000     2105.168     2968.918
       6.202        0.000     2105.168     2968.918
       6.213        0.000     2105.168     2968.918
       6.224        0.000     2105.168     2968.918
       6.234        0.000     2105.168     2968.918
       6.245        0.000     2105.168     2968.918
       6.256        0.000     2105.168     2968.918
       6.267        0.000     2105.168     2968.918
       6.278        0.000     2105.168     2968.918
       6.289        0.000     2105.168     2968.918
       6.300        0.000     2105.168     2968.918
       6.311        0.000     2105.168     2968.918
       6.322        0.000     2105.168     2968.918
       6.333        0.000     2105.168     2968.918
       6.343        0.000     2105.168     2968.918
       6.354        0.000     2105.168     2968.918
       6.365        0.000     2105.168     2968.918
       6.376        0.000     2105.168     2968.918
       6.386        0.000     2105.168     2968.918
       6.396        0.000     2105.168     2968.918
       6.406        0.000     2105.168     2968.918
       6.417        0.000     2105.168     2968.918
       6.427        0.000     2105.168     2968.918
       6.437        0.000     2105.168     2968.918
       6.448        0.000     2105.168     2968.918
       6.458        0.000     2105.168     2968.918
       6.469        0.000     2105.168     2968.918
       6.479        0.000     2105.168     2968.918
       6.490        0.000     2105.168     2968.918
       6.500        0.000     2105.168     2968.918
       6.511        0.000     2105.168     2968.918
       6.522        0.000     2105.168     2968.918
       6.533        0.000     2105.168     2968.918
       6.544        0.000     2105.168     2968.918
       6.555        0.000     2105.168     2968.918
       6.565       91.000     2105.168     2968.918
       6.577        0.000     2105.168     2968.918
       6.587        0.000     2105.168     2968.918
       6.598        0.000     2105.168     2968.918
       6.609        0.000     2105.168     2968.918
       6.620        0.000     2105.168     2968.918
       6.631        0.000     2105.168     2968.918
       6.641        0.000     2105.168     2968.918
       6.652        0.000     2105.168     2968.918
       6.663        0.000     2105.168     2968.918
       6.674        0.000     2105.168     2968.918
       6.685        0.000     2105.168     2968.918
       6.696        0.000     2105.168     2968.918
       6.707        0.000     2105.168     2968.918
       6.718        0.000     2105.168     2968.918
       6.729        0.000     2105.168     2968.918
       6.739        0.000     2105.168     2968.918
       6.750        0.000     2105.168     2968.918
       6.761        0.000     2105.168     2968.918
       6.772        0.000     2105.168     2968.918
       6.783        0.000     2105.168     2968.918
       6.794        0.000     2105.168     2968.918
       6.805        0.000     2105.168     2968.918
       6.816        0.000     2105.168     2968.918
       6.827        0.000     2105.168     2968.918
       6.838        0.000     2105.168     2968.918
       6.849        0.000     2105.168     2968.918
       6.860        0.000     2105.168     2968.918
       6.870        0.000     2105.168     2968.918
       6.881       92.900     2105.168     2968.918
       6.892        0.000     2105.168     2968.918
       6.903        0.000     2105.168     2968.918
       6.914        0.000     2105.168     2968.918
       6.925        0.000     2105.168     2968.918
       6.935        0.000     2105.168     2968.918
       6.946        0.000     2105.168     2968.918
       6.957        0.000     2105.168     2968.918
       6.968        0.000     2105.168     2968.918
       6.979        0.000     2105.168     2968.918
       6.990        0.000     2105.168     2968.918
       7.001        0.000     2105.168     2968.918
       7.012        0.000     2105.168     2968.918
       7.023        0.000     2105.168     2968.918
       7.033        0.000     2105.168     2968.918
       7.044        0.000     2105.168     2968.918
       7.055        0.000     2105.168     2968.918
       7.066        0.000     2105.168     2968.918
       7.077        0.000     2105.168     2968.918
       7.087        0.000     2105.168     2968.918
       7.098        0.000     2105.168     2968.918
       7.109        0.000     2105.168     2968.918
       7.120        0.000     2105.168     2968.918
       7.131        0.000     2105.168     2968.918
       7.141        0.000     2105.168     2968.918
       7.152        0.000     2105.168     2968.918
       7.163        0.000     2105.168     2968.918
       7.174        0.000     2105.168     2968.918
       7.185        0.000     2105.168     2968.918
       7.196        0.000     2105.168     2968.918
       7.207        0.000     2105.168     2968.918
       7.218        0.000     2105.168     2968.918
       7.229        0.000     2105.168     2968.918
       7.239        0.000     2105.168     2968.918
       7.250        0.000     2105.168     2968.918
       7.261        0.000     2105.168     2968.918
       7.272        0.000     2105.168     2968.918
       7.283        0.000     2105.168     2968.918
       7.294        0.000     2105.168     2968.918
       7.305        0.000     2105.168     2968.918
       7.316        0.000     2105.168     2968.918
       7.327        0.000     2105.168     2968.918
       7.337        0.000     2105.168     2968.918
       7.348        0.000     2105.168     2968.918
       7.359        0.000     2105.168     2968.918
       7.370        0.000     2105.168     2968.918
       7.381        0.000     2105.168     2968.918
       7.392        0.000     2105.168     2968.918
       7.403        0.000     2105.168     2968.918
       7.414        0.000     2105.168     2968.918
       7.424        0.000     2105.168     2968.918
       7.435        0.000     2105.168     2968.918
       7.446        0.000     2105.168     2968.918
       7.457        0.000     2105.168     2968.918
       7.468        0.000     2105.168     2968.918
       7.479        0.000     2105.168     2968.918
       7.490        0.000     2105.168     2968.918
       7.501        0.000     2105.168     2968.918
       7.511        0.000     2105.168     2968.918
       7.522        0.000     2105.168     2968.918
       7.533        0.000     2105.168     2968.918
       7.544        0.000     2105.168     2968.918
       7.555       89.000     2105.168     2968.918
       7.566        0.000     2105.168     2968.918
       7.577        0.000     2105.168     2968.918
       7.588        0.000     2105.168     2968.918
       7.599        0.000     2105.168     2968.918
       7.609        0.000     2105.168     2968.918
       7.619        0.000     2105.168     2968.918
       7.630        0.000     2105.168     2968.918
       7.640        0.000     2105.168     2968.918
       7.651        0.000     2105.168     2968.918
       7.661        0.000     2105.168     2968.918
       7.672        0.000     2105.168     2968.918
       7.683        0.000     2105.168     2968.918
       7.694        0.000     2105.168     2968.918
       7.704        0.000     2105.168     2968.918
       7.715        0.000     2105.168     2968.918
       7.726        0.000     2105.168     2968.918
       7.737        0.000     2105.168     2968.918
       7.748        0.000     2105.168     2968.918
       7.759        0.000     2105.168     2968.918
       7.770        0.000     2105.168     2968.918
       7.781        0.000     2105.168     2968.918
       7.792        0.000     2105.168     2968.918
       7.803        0.000     2105.168     2968.918
       7.814        0.000     2105.168     2968.918
       7.824        0.000     2105.168     2968.918
       7.835        0.000     2105.168     2968.918
       7.846        0.000     2105.168     2968.918
       7.857        0.000     2105.168     2968.918
       7.868        0.000     2105.168     2968.918
       7.879        0.000     2105.168     2968.918
